,Sentences,Word,POST,Predicted
9962,,season-opening,JJ,O
9963,,event,NN,O
9964,,on,IN,O
9965,,the,DT,O
9966,,World,NNP,O
9967,,Rally,NNP,O
9968,,Championship,NNP,O
9969,,circuit,NN,O
9970,,.,.,O
9971,Sentence: 9465,The,DT,O
9972,,two-time,JJ,O
9973,,defending,VBG,O
9974,,Monte,NNP,B-per
9975,,Carlo,NNP,I-geo
9976,,champion,NN,O
9977,,drove,VBD,O
9978,,his,PRP$,O
9979,,Citro_n,NNP,B-org
9980,,Xsara,NNP,I-org
9981,,WRC,NNP,I-org
9982,,to,TO,O
9983,,a,DT,O
9984,,total,JJ,O
9985,,time,NN,O
9986,,of,IN,O
9987,,one,CD,O
9988,,hour,NN,O
9989,,",",",",O
9990,,18.46.09,CD,O
9991,,.,.,O
9992,Sentence: 9466,Teammate,NN,O
9993,,Francois,NNP,B-per
9994,,Duval,NNP,I-per
9995,,of,IN,O
9996,,Belgium,NNP,B-geo
9997,,is,VBZ,O
9998,,second,JJ,O
9999,,overall,JJ,O
10000,,",",",",O
10001,,11871,CD,O
10002,,seconds,NNS,O
10003,,behind,IN,O
10004,,Loeb,NNP,B-per
10005,,.,.,O
10006,Sentence: 9467,Former,JJ,O
10007,,world,NN,O
10008,,champion,NN,O
10009,,Marcus,NNP,B-per
10010,,Grnholm,NNP,I-per
10011,,of,IN,O
10012,,Finland,NNP,B-geo
10013,,is,VBZ,O
10014,,third,JJ,O
10015,,overall,NN,O
10016,,in,IN,O
10017,,a,DT,O
10018,,Peugeot,NNP,B-org
10019,,",",",",O
10020,,more,JJR,O
10021,,than,IN,O
10022,,one,CD,O
10023,,minute,NN,O
10024,,behind,IN,O
10025,,the,DT,O
10026,,French,JJ,B-gpe
10027,,driver,NN,O
10028,,.,.,O
10029,Sentence: 9468,Norwegian,JJ,B-gpe
10030,,Petter,NNP,B-per
10031,,Solberg,NNP,I-per
10032,,in,IN,O
10033,,a,DT,O
10034,,Subaru,NNP,B-org
10035,,is,VBZ,O
10036,,fourth,JJ,O
10037,,.,.,O
10038,Sentence: 9469,Loeb,NNP,B-per
10039,,has,VBZ,O
10040,,won,VBN,O
10041,,10,CD,O
10042,,rallies,NNS,O
10043,,in,IN,O
10044,,his,PRP$,O
10045,,career,NN,O
10046,,",",",",O
10047,,and,CC,O
10048,,last,JJ,O
10049,,season,NN,O
10050,,became,VBD,O
10051,,the,DT,O
10052,,first,JJ,O
10053,,French,JJ,B-gpe
10054,,driver,NN,O
10055,,since,IN,O
10056,,Didier,NNP,B-per
10057,,Auriol,NNP,I-per
10058,,to,TO,O
10059,,win,VB,O
10060,,the,DT,O
10061,,World,NNP,O
10062,,title,NN,O
10063,,.,.,O
10064,Sentence: 9470,The,DT,O
10065,,Monte,NNP,B-org
10066,,Carlo,NNP,I-org
10067,,Rally,NNP,O
10068,,continues,VBZ,O
10069,,through,IN,O
10070,,Sunday,NNP,B-tim
10071,,.,.,O
10072,Sentence: 9471,The,DT,O
10073,,U.S.,NNP,B-org
10074,,economy,NN,O
10075,,added,VBD,O
10076,,"1,12,000",CD,O
10077,,new,JJ,O
10078,,jobs,NNS,O
10079,,in,IN,O
10080,,November,NNP,B-tim
10081,,",",",",O
10082,,which,WDT,O
10083,,is,VBZ,O
10084,,about,IN,O
10085,,half,NN,O
10086,,what,WP,O
10087,,experts,NNS,O
10088,,had,VBD,O
10089,,expected,VBN,O
10090,,.,.,O
10091,Sentence: 9472,Friday,NNP,B-tim
10092,,'s,POS,O
10093,,closely,RB,O
10094,,watched,VBN,O
10095,,report,NN,O
10096,,from,IN,O
10097,,the,DT,O
10098,,U.S.,NNP,B-org
10099,,Labor,NNP,I-org
10100,,Department,NNP,I-org
10101,,also,RB,O
10102,,said,VBD,O
10103,,the,DT,O
10104,,unemployment,NN,O
10105,,rate,NN,O
10106,,dropped,VBD,O
10107,,slightly,RB,O
10108,,to,TO,O
10109,,42859,CD,O
10110,,percent,NN,O
10111,,.,.,O
10112,Sentence: 9473,Analysts,NNS,O
10113,,said,VBD,O
10114,,high,JJ,O
10115,,oil,NN,O
10116,,prices,NNS,O
10117,,and,CC,O
10118,,disappointing,JJ,O
10119,,holiday,NN,O
10120,,sales,NNS,O
10121,,have,VBP,O
10122,,made,VBN,O
10123,,companies,NNS,O
10124,,reluctant,JJ,O
10125,,to,TO,O
10126,,take,VB,O
10127,,on,RP,O
10128,,new,JJ,O
10129,,workers,NNS,O
10130,,.,.,O
10131,Sentence: 9474,Economists,NNS,O
10132,,say,VBP,O
10133,,it,PRP,O
10134,,takes,VBZ,O
10135,,the,DT,O
10136,,creation,NN,O
10137,,of,IN,O
10138,,between,IN,O
10139,,"1,00,000",CD,O
10140,,and,CC,O
10141,,"1,50,000",CD,O
10142,,new,JJ,O
10143,,jobs,NNS,O
10144,,each,DT,O
10145,,month,NN,O
10146,,to,TO,O
10147,,employ,VB,O
10148,,new,JJ,O
10149,,entrants,NNS,O
10150,,into,IN,O
10151,,the,DT,O
10152,,U.S.,NNP,B-gpe
10153,,workforce,NN,O
10154,,every,DT,O
10155,,month,NN,O
10156,,.,.,O
10157,Sentence: 9475,Poland,NNP,B-gpe
10158,,says,VBZ,O
10159,,recent,JJ,O
10160,,U.S.,NNP,B-org
10161,,proposals,NNS,O
10162,,to,TO,O
10163,,strengthen,VB,O
10164,,the,DT,O
10165,,Polish,JJ,B-gpe
10166,,military,NN,O
10167,,in,IN,O
10168,,return,NN,O
10169,,for,IN,O
10170,,hosting,VBG,O
10171,,a,DT,O
10172,,missile,NN,O
10173,,defense,NN,O
10174,,system,NN,O
10175,,fall,VB,O
10176,,short,RB,O
10177,,of,IN,O
10178,,its,PRP$,O
10179,,demands,NNS,O
10180,,.,.,O
10181,Sentence: 9476,Polish,JJ,B-gpe
10182,,Prime,NNP,B-per
10183,,Minister,NNP,I-per
10184,,Donald,NNP,I-per
10185,,Tusk,NNP,I-per
10186,,told,VBD,O
10187,,reporters,NNS,O
10188,,in,IN,O
10189,,Warsaw,NNP,B-geo
10190,,Tuesday,NNP,B-tim
10191,,that,IN,O
10192,,the,DT,O
10193,,U.S.,NNP,B-org
10194,,proposals,NNS,O
10195,,have,VBP,O
10196,,not,RB,O
10197,,reached,VBN,O
10198,,a,DT,O
10199,,level,NN,O
10200,,that,WDT,O
10201,,is,VBZ,O
10202,,satisfactory,JJ,O
10203,,to,TO,O
10204,,Poland,NNP,B-geo
10205,,.,.,O
10206,Sentence: 9477,U.S.,NNP,B-org
10207,,and,CC,O
10208,,Polish,JJ,B-gpe
10209,,negotiators,NNS,O
10210,,discussed,VBD,O
10211,,the,DT,O
10212,,initiative,NN,O
10213,,last,JJ,O
10214,,week,NN,O
10215,,.,.,O
10216,Sentence: 9478,The,DT,O
10217,,United,NNP,B-geo
10218,,States,NNPS,I-geo
10219,,wants,VBZ,O
10220,,to,TO,O
10221,,install,VB,O
10222,,10,CD,O
10223,,land-based,JJ,O
10224,,interceptor,NN,O
10225,,missile,NN,O
10226,,silos,NNS,O
10227,,in,IN,O
10228,,Poland,NNP,B-geo
10229,,and,CC,O
10230,,associated,VBN,O
10231,,radar,NN,O
10232,,bases,NNS,O
10233,,in,IN,O
10234,,the,DT,O
10235,,Czech,JJ,B-gpe
10236,,Republic,NNP,B-geo
10237,,.,.,O
10238,Sentence: 9479,Washington,NNP,B-geo
10239,,says,VBZ,O
10240,,the,DT,O
10241,,anti-missile,JJ,O
10242,,system,NN,O
10243,,is,VBZ,O
10244,,intended,VBN,O
10245,,to,TO,O
10246,,defend,VB,O
10247,,the,DT,O
10248,,United,NNP,B-geo
10249,,States,NNPS,I-geo
10250,,and,CC,O
10251,,NATO,NNP,B-org
10252,,allies,NNS,O
10253,,against,IN,O
10254,,potential,JJ,O
10255,,ballistic,JJ,O
10256,,missile,NN,O
10257,,attacks,NNS,O
10258,,by,IN,O
10259,,what,WP,O
10260,,it,PRP,O
10261,,calls,VBZ,O
10262,,"""",``,O
10263,,rogue,NN,O
10264,,states,NNS,O
10265,,",",",",O
10266,,"""",``,O
10267,,notably,RB,O
10268,,Iran,NNP,B-geo
10269,,.,.,O
10270,Sentence: 9480,Russia,NNP,B-geo
10271,,has,VBZ,O
10272,,blasted,VBN,O
10273,,the,DT,O
10274,,U.S.,NNP,B-org
10275,,plan,NN,O
10276,,as,IN,O
10277,,a,DT,O
10278,,threat,NN,O
10279,,to,TO,O
10280,,Russian,JJ,B-gpe
10281,,security,NN,O
10282,,.,.,O
10283,Sentence: 9481,The,DT,O
10284,,U.S.,NNP,B-org
10285,,Justice,NNP,I-org
10286,,Department,NNP,I-org
10287,,has,VBZ,O
10288,,opened,VBN,O
10289,,a,DT,O
10290,,civil,JJ,O
10291,,rights,NNS,O
10292,,investigation,NN,O
10293,,into,IN,O
10294,,the,DT,O
10295,,beating,NN,O
10296,,of,IN,O
10297,,a,DT,O
10298,,64-year-old,JJ,O
10299,,black,JJ,O
10300,,man,NN,O
10301,,in,IN,O
10302,,flood-ravaged,JJ,O
10303,,New,NNP,B-geo
10304,,Orleans,NNP,I-geo
10305,,.,.,O
10306,Sentence: 9482,The,DT,O
10307,,probe,NN,O
10308,,announced,VBN,O
10309,,Monday,NNP,B-tim
10310,,was,VBD,O
10311,,launched,VBN,O
10312,,following,VBG,O
10313,,the,DT,O
10314,,release,NN,O
10315,,of,IN,O
10316,,a,DT,O
10317,,videotape,NN,O
10318,,showing,VBG,O
10319,,two,CD,O
10320,,uniformed,JJ,O
10321,,New,NNP,B-geo
10322,,Orleans,NNP,I-geo
10323,,police,NN,O
10324,,officers,NNS,O
10325,,punching,VBG,O
10326,,Robert,NNP,B-per
10327,,Davis,NNP,I-per
10328,,in,IN,O
10329,,the,DT,O
10330,,face,NN,O
10331,,and,CC,O
10332,,body,NN,O
10333,,as,IN,O
10334,,he,PRP,O
10335,,was,VBD,O
10336,,being,VBG,O
10337,,arrested,VBN,O
10338,,for,IN,O
10339,,public,JJ,O
10340,,drunkenness,NN,O
10341,,.,.,O
10342,Sentence: 9483,Another,DT,O
10343,,officer,NN,O
10344,,is,VBZ,O
10345,,shown,VBN,O
10346,,shoving,VBG,O
10347,,and,CC,O
10348,,screaming,VBG,O
10349,,at,IN,O
10350,,a,DT,O
10351,,news,NN,O
10352,,producer,NN,O
10353,,who,WP,O
10354,,was,VBD,O
10355,,documenting,VBG,O
10356,,the,DT,O
10357,,confrontation,NN,O
10358,,.,.,O
10359,Sentence: 9484,Mr.,NNP,B-per
10360,,Davis,NNP,I-per
10361,,says,VBZ,O
10362,,he,PRP,O
10363,,does,VBZ,O
10364,,not,RB,O
10365,,drink,VB,O
10366,,alcohol,NN,O
10367,,and,CC,O
10368,,was,VBD,O
10369,,just,RB,O
10370,,out,RB,O
10371,,looking,VBG,O
10372,,for,IN,O
10373,,cigarettes,NNS,O
10374,,.,.,O
10375,Sentence: 9485,He,PRP,O
10376,,told,VBD,O
10377,,CNN,NNP,B-org
10378,,television,NN,O
10379,,that,IN,O
10380,,the,DT,O
10381,,incident,NN,O
10382,,started,VBD,O
10383,,after,IN,O
10384,,he,PRP,O
10385,,called,VBD,O
10386,,one,CD,O
10387,,of,IN,O
10388,,the,DT,O
10389,,police,NN,O
10390,,officers,NNS,O
10391,,unprofessional,JJ,O
10392,,for,IN,O
10393,,interrupting,VBG,O
10394,,his,PRP$,O
10395,,talk,NN,O
10396,,with,IN,O
10397,,an,DT,O
10398,,officer,NN,O
10399,,on,IN,O
10400,,horseback,NN,O
10401,,.,.,O
10402,Sentence: 9486,Mr.,NNP,B-per
10403,,Davis,NNP,I-per
10404,,'s,POS,O
10405,,attorney,NN,O
10406,,says,VBZ,O
10407,,his,PRP$,O
10408,,client,NN,O
10409,,does,VBZ,O
10410,,not,RB,O
10411,,believe,VB,O
10412,,race,NN,O
10413,,was,VBD,O
10414,,a,DT,O
10415,,factor,NN,O
10416,,in,IN,O
10417,,the,DT,O
10418,,Saturday,NNP,B-tim
10419,,night,NN,I-tim
10420,,incident,NN,O
10421,,.,.,O
10422,Sentence: 9487,The,DT,O
10423,,three,CD,O
10424,,white,JJ,O
10425,,police,NN,O
10426,,officers,NNS,O
10427,,seen,VBN,O
10428,,in,IN,O
10429,,the,DT,O
10430,,video,NN,O
10431,,have,VBP,O
10432,,pleaded,VBN,O
10433,,not,RB,O
10434,,guilty,JJ,O
10435,,to,TO,O
10436,,battery,NN,O
10437,,charges,NNS,O
10438,,.,.,O
10439,Sentence: 9488,A,DT,O
10440,,key,JJ,O
10441,,economic,JJ,O
10442,,report,NN,O
10443,,says,VBZ,O
10444,,the,DT,O
10445,,global,JJ,O
10446,,economy,NN,O
10447,,will,MD,O
10448,,be,VB,O
10449,,worse,JJR,O
10450,,than,IN,O
10451,,first,RB,O
10452,,estimated,VBN,O
10453,,this,DT,O
10454,,year,NN,O
10455,,",",",",O
10456,,while,IN,O
10457,,a,DT,O
10458,,separate,JJ,O
10459,,study,NN,O
10460,,says,VBZ,O
10461,,2010,CD,B-tim
10462,,will,MD,O
10463,,be,VB,O
10464,,better,JJR,O
10465,,than,IN,O
10466,,expected,VBN,O
10467,,.,.,O
10468,Sentence: 9489,Thursday,NNP,B-tim
10469,,'s,POS,O
10470,,World,NNP,O
10471,,Bank,NNP,I-org
10472,,study,NN,O
10473,,says,VBZ,O
10474,,the,DT,O
10475,,global,JJ,O
10476,,economy,NN,O
10477,,will,MD,O
10478,,shrink,VB,O
10479,,almost,RB,O
10480,,three,CD,O
10481,,percent,NN,O
10482,,this,DT,O
10483,,year,NN,O
10484,,",",",",O
10485,,which,WDT,O
10486,,is,VBZ,O
10487,,significantly,RB,O
10488,,worse,JJR,O
10489,,than,IN,O
10490,,earlier,JJR,O
10491,,estimates,NNS,O
10492,,.,.,O
10493,Sentence: 9490,Bank,NNP,O
10494,,experts,NNS,O
10495,,say,VBP,O
10496,,the,DT,O
10497,,downturn,NN,O
10498,,is,VBZ,O
10499,,likely,JJ,O
10500,,to,TO,O
10501,,hit,VB,O
10502,,poor,JJ,O
10503,,nations,NNS,O
10504,,hard,RB,O
10505,,",",",",O
10506,,even,RB,O
10507,,though,IN,O
10508,,financial,JJ,O
10509,,markets,NNS,O
10510,,in,IN,O
10511,,wealthy,JJ,O
10512,,nations,NNS,O
10513,,are,VBP,O
10514,,stabilizing,VBG,O
10515,,.,.,O
10516,Sentence: 9491,At,IN,O
10517,,the,DT,O
10518,,same,JJ,O
10519,,time,NN,O
10520,,",",",",O
10521,,news,NN,O
10522,,reports,NNS,O
10523,,say,VBP,O
10524,,the,DT,O
10525,,International,NNP,B-org
10526,,Monetary,NNP,I-org
10527,,Fund,NNP,I-org
10528,,is,VBZ,O
10529,,raising,VBG,O
10530,,its,PRP$,O
10531,,estimate,NN,O
10532,,of,IN,O
10533,,global,JJ,O
10534,,economic,JJ,O
10535,,growth,NN,O
10536,,for,IN,O
10537,,2010,CD,B-tim
10538,,.,.,O
10539,Sentence: 9492,The,DT,O
10540,,reports,NNS,O
10541,,on,IN,O
10542,,Bloomberg,NNP,B-org
10543,,and,CC,O
10544,,Reuters,NNP,B-org
10545,,quote,VBP,O
10546,,unnamed,JJ,O
10547,,sources,NNS,O
10548,,saying,VBG,O
10549,,the,DT,O
10550,,IMF,NNP,B-org
10551,,is,VBZ,O
10552,,raising,VBG,O
10553,,next,JJ,O
10554,,year,NN,O
10555,,'s,POS,O
10556,,growth,NN,O
10557,,prediction,NN,O
10558,,to,TO,O
10559,,hit,VB,O
10560,,42770,CD,O
10561,,percent,NN,O
10562,,.,.,O
10563,Sentence: 9493,That,DT,O
10564,,is,VBZ,O
10565,,a,DT,O
10566,,half,NN,O
10567,,a,DT,O
10568,,percent,NN,O
10569,,higher,JJR,O
10570,,than,IN,O
10571,,earlier,JJR,O
10572,,studies,NNS,O
10573,,predicted,VBD,O
10574,,.,.,O
10575,Sentence: 9494,The,DT,O
10576,,predictions,NNS,O
10577,,come,VBP,O
10578,,just,RB,O
10579,,ahead,RB,O
10580,,of,IN,O
10581,,a,DT,O
10582,,meeting,NN,O
10583,,of,IN,O
10584,,G8,NNP,O
10585,,finance,NN,O
10586,,ministers,NNS,O
10587,,in,IN,O
10588,,Italy,NNP,B-geo
10589,,where,WRB,O
10590,,the,DT,O
10591,,economic,JJ,O
10592,,crisis,NN,O
10593,,tops,VBZ,O
10594,,the,DT,O
10595,,agenda,NN,O
10596,,.,.,O
10597,Sentence: 9495,Russian,JJ,B-gpe
10598,,President,NNP,B-per
10599,,Vladimir,NNP,I-per
10600,,Putin,NNP,I-per
10601,,and,CC,O
10602,,Venezuelan,JJ,B-gpe
10603,,President,NNP,B-per
10604,,Hugo,NNP,I-per
10605,,Chavez,NNP,I-per
10606,,discussed,VBD,O
10607,,trade,NN,O
10608,,and,CC,O
10609,,economic,JJ,O
10610,,issues,NNS,O
10611,,-,:,O
10612,,as,RB,O
10613,,well,RB,O
10614,,as,IN,O
10615,,arms,NNS,O
10616,,sales,NNS,O
10617,,-,:,O
10618,,during,IN,O
10619,,a,DT,O
10620,,meeting,NN,O
10621,,in,IN,O
10622,,Moscow,NNP,B-geo
10623,,Friday,NNP,B-tim
10624,,.,.,O
10625,Sentence: 9496,Mr.,NNP,B-per
10626,,Putin,NNP,I-per
10627,,and,CC,O
10628,,Mr.,NNP,B-per
10629,,Chavez,NNP,I-per
10630,,signed,VBD,O
10631,,an,DT,O
10632,,agreement,NN,O
10633,,announcing,VBG,O
10634,,Venezuela,NNP,B-geo
10635,,'s,POS,O
10636,,support,NN,O
10637,,of,IN,O
10638,,Russia,NNP,B-geo
10639,,'s,POS,O
10640,,bid,NN,O
10641,,to,TO,O
10642,,join,VB,O
10643,,the,DT,O
10644,,World,NNP,O
10645,,Trade,NNP,O
10646,,Organization,NNP,O
10647,,.,.,O
10648,Sentence: 9497,The,DT,O
10649,,two,CD,O
10650,,leaders,NNS,O
10651,,also,RB,O
10652,,discussed,VBD,O
10653,,a,DT,O
10654,,joint,JJ,O
10655,,energy,NN,O
10656,,production,NN,O
10657,,project,NN,O
10658,,.,.,O
10659,Sentence: 9498,Officials,NNS,O
10660,,from,IN,O
10661,,Russian,JJ,B-gpe
10662,,'s,POS,O
10663,,Lukoil,NNP,O
10664,,company,NN,O
10665,,and,CC,O
10666,,Venezuela,NNP,B-geo
10667,,'s,POS,O
10668,,state-owned,JJ,O
10669,,PDVSA,NNP,B-org
10670,,oil,NN,O
10671,,company,NN,O
10672,,signed,VBD,O
10673,,a,DT,O
10674,,memorandum,NN,O
10675,,of,IN,O
10676,,understanding,NN,O
10677,,on,IN,O
10678,,a,DT,O
10679,,joint,JJ,O
10680,,oil,NN,O
10681,,exploration,NN,O
10682,,venture,NN,O
10683,,in,IN,O
10684,,Venezuela,NNP,B-geo
10685,,.,.,O
10686,Sentence: 9499,Mr.,NNP,B-per
10687,,Chavez,NNP,I-per
10688,,said,VBD,O
10689,,Caracas,NNP,B-geo
10690,,will,MD,O
10691,,buy,VB,O
10692,,40,CD,O
10693,,military,JJ,O
10694,,helicopters,NNS,O
10695,,and,CC,O
10696,,"1,00,000",CD,O
10697,,submachine,JJ,O
10698,,guns,NNS,O
10699,,from,IN,O
10700,,Moscow,NNP,B-geo
10701,,.,.,O
10702,Sentence: 9500,Eminem,NNP,B-per
10703,,and,CC,O
10704,,his,PRP$,O
10705,,ex-wife,JJ,O
10706,,Kim,NNP,B-per
10707,,Mathers,NNP,I-per
10708,,have,VBP,O
10709,,agreed,VBN,O
10710,,not,RB,O
10711,,to,TO,O
10712,,publicly,RB,O
10713,,criticize,VB,O
10714,,each,DT,O
10715,,other,NN,O
10716,,.,.,O
10717,Sentence: 9501,The,DT,O
10718,,estranged,VBN,O
10719,,couple,NN,O
10720,,say,VBP,O
10721,,the,DT,O
10722,,March,NNP,B-tim
10723,,26,CD,I-tim
10724,,decision,NN,O
10725,,arises,NNS,O
10726,,from,IN,O
10727,,their,PRP$,O
10728,,desire,NN,O
10729,,not,RB,O
10730,,to,TO,O
10731,,hurt,VB,O
10732,,their,PRP$,O
10733,,11-year-old,JJ,O
10734,,daughter,NN,O
10735,,",",",",O
10736,,Hailie,NNP,B-per
10737,,.,.,O
10738,Sentence: 9502,Mathers,NNP,B-per
10739,,",",",",O
10740,,who,WP,O
10741,,has,VBZ,O
10742,,twice,RB,O
10743,,married,VBN,O
10744,,and,CC,O
10745,,divorced,VBN,O
10746,,the,DT,O
10747,,34-year-old,JJ,O
10748,,rap,NN,O
10749,,star,NN,O
10750,,",",",",O
10751,,has,VBZ,O
10752,,frequently,RB,O
10753,,criticized,VBN,O
10754,,her,PRP$,O
10755,,ex-husband,NN,O
10756,,'s,POS,O
10757,,lack,NN,O
10758,,of,IN,O
10759,,compassion,NN,O
10760,,and,CC,O
10761,,fidelity,NN,O
10762,,.,.,O
10763,Sentence: 9503,In,IN,O
10764,,return,NN,O
10765,,",",",",O
10766,,Eminem,NNP,B-per
10767,,has,VBZ,O
10768,,often,RB,O
10769,,assailed,VBN,O
10770,,Kim,NNP,B-per
10771,,in,IN,O
10772,,his,PRP$,O
10773,,lyrics,NNS,O
10774,,.,.,O
10775,Sentence: 9504,The,DT,O
10776,,couple,NN,O
10777,,wed,VBD,O
10778,,in,IN,O
10779,,1999,CD,B-tim
10780,,",",",",O
10781,,divorced,VBN,O
10782,,in,IN,O
10783,,2001,CD,B-tim
10784,,",",",",O
10785,,remarried,VBN,O
10786,,in,IN,O
10787,,January,NNP,B-tim
10788,,2006,CD,I-tim
10789,,",",",",O
10790,,and,CC,O
10791,,separated,VBD,O
10792,,three,CD,B-tim
10793,,months,NNS,O
10794,,later,RB,B-tim
10795,,.,.,O
10796,Sentence: 9505,Their,PRP$,O
10797,,second,JJ,O
10798,,divorce,NN,O
10799,,was,VBD,O
10800,,finalized,VBN,O
10801,,in,IN,O
10802,,December,NNP,B-tim
10803,,.,.,O
10804,Sentence: 9506,Bolivia,NNP,B-gpe
10805,,'s,POS,O
10806,,president,NN,O
10807,,says,VBZ,O
10808,,energy,NN,O
10809,,companies,NNS,O
10810,,affected,VBN,O
10811,,by,IN,O
10812,,his,PRP$,O
10813,,nationalization,NN,O
10814,,of,IN,O
10815,,natural,JJ,O
10816,,gas,NN,O
10817,,will,MD,O
10818,,not,RB,O
10819,,be,VB,O
10820,,compensated,VBN,O
10821,,if,IN,O
10822,,they,PRP,O
10823,,recouped,VBD,O
10824,,their,PRP$,O
10825,,investments,NNS,O
10826,,.,.,O
10827,Sentence: 9507,Speaking,VBG,O
10828,,on,IN,O
10829,,the,DT,O
10830,,sidelines,NNS,O
10831,,of,IN,O
10832,,the,DT,O
10833,,EU-Latin,JJ,B-org
10834,,American,JJ,B-gpe
10835,,summit,NN,O
10836,,",",",",O
10837,,Evo,NNP,B-per
10838,,Morales,NNP,I-per
10839,,also,RB,O
10840,,urged,VBD,O
10841,,Colombia,NNP,B-geo
10842,,",",",",O
10843,,Peru,NNP,B-geo
10844,,and,CC,O
10845,,Ecuador,NNP,B-geo
10846,,not,RB,O
10847,,to,TO,O
10848,,ratify,VB,O
10849,,trade,NN,O
10850,,deals,NNS,O
10851,,with,IN,O
10852,,the,DT,O
10853,,United,NNP,B-geo
10854,,States,NNPS,I-geo
10855,,.,.,O
10856,Sentence: 9508,Latin,JJ,O
10857,,American,JJ,B-gpe
10858,,and,CC,O
10859,,European,JJ,O
10860,,leaders,NNS,O
10861,,are,VBP,O
10862,,in,IN,O
10863,,Vienna,NNP,B-geo
10864,,",",",",O
10865,,Austria,NNP,B-geo
10866,,",",",",O
10867,,for,IN,O
10868,,a,DT,O
10869,,summit,NN,O
10870,,aimed,VBN,O
10871,,at,IN,O
10872,,strengthening,VBG,O
10873,,cooperation,NN,O
10874,,between,IN,O
10875,,the,DT,O
10876,,continents,NNS,O
10877,,.,.,O
10878,Sentence: 9509,Bolivia,NNP,B-gpe
10879,,'s,POS,O
10880,,move,NN,O
10881,,to,TO,O
10882,,nationalize,VB,O
10883,,energy,NN,O
10884,,resources,NNS,O
10885,,was,VBD,O
10886,,expected,VBN,O
10887,,to,TO,O
10888,,be,VB,O
10889,,discussed,VBN,O
10890,,.,.,O
10891,Sentence: 9510,The,DT,O
10892,,EU,NNP,B-org
10893,,Commission,NNP,I-org
10894,,for,IN,I-org
10895,,External,NNP,I-org
10896,,Relations,NNP,I-org
10897,,and,CC,I-org
10898,,Neighborhood,NNP,I-org
10899,,Policy,NNP,I-org
10900,,",",",",O
10901,,Benita,NNP,B-org
10902,,Ferrero-Waldner,NNP,I-org
10903,,issued,VBD,O
10904,,a,DT,O
10905,,statement,NN,O
10906,,Wednesday,NNP,B-tim
10907,,saying,VBG,O
10908,,Europe,NNP,B-geo
10909,,will,MD,O
10910,,do,VB,O
10911,,everything,DT,O
10912,,it,PRP,O
10913,,can,MD,O
10914,,to,TO,O
10915,,clear,VB,O
10916,,the,DT,O
10917,,way,NN,O
10918,,for,IN,O
10919,,closer,JJR,O
10920,,trade,NN,O
10921,,partnerships,NNS,O
10922,,.,.,O
10923,Sentence: 9511,But,CC,O
10924,,she,PRP,O
10925,,said,VBD,O
10926,,Latin,JJ,O
10927,,American,JJ,B-gpe
10928,,nations,NNS,O
10929,,must,MD,O
10930,,overcome,VB,O
10931,,obstacles,NNS,O
10932,,on,IN,O
10933,,their,PRP$,O
10934,,side,NN,O
10935,,.,.,O
10936,Sentence: 9512,New,JJ,O
10937,,allegations,NNS,O
10938,,of,IN,O
10939,,prisoner,NN,O
10940,,abuse,NN,O
10941,,by,IN,O
10942,,U.S.,NNP,B-org
10943,,forces,NNS,O
10944,,in,IN,O
10945,,Iraq,NNP,B-geo
10946,,and,CC,O
10947,,Afghanistan,NNP,B-geo
10948,,have,VBP,O
10949,,been,VBN,O
10950,,revealed,VBN,O
10951,,in,IN,O
10952,,Army,NNP,B-org
10953,,documents,NNS,O
10954,,released,VBN,O
10955,,by,IN,O
10956,,the,DT,O
10957,,American,NNP,B-org
10958,,Civil,NNP,I-org
10959,,Liberties,NNP,I-org
10960,,Union,NNP,I-org
10961,,.,.,O
10962,Sentence: 9513,The,DT,O
10963,,documents,NNS,O
10964,,show,VBP,O
10965,,photographs,NNS,O
10966,,of,IN,O
10967,,U.S.,NNP,B-gpe
10968,,soldiers,NNS,O
10969,,in,IN,O
10970,,Afghanistan,NNP,B-geo
10971,,posing,VBG,O
10972,,with,IN,O
10973,,hooded,VBN,O
10974,,and,CC,O
10975,,bound,VBN,O
10976,,detainees,NNS,O
10977,,during,IN,O
10978,,mock,JJ,O
10979,,executions,NNS,O
10980,,.,.,O
10981,Sentence: 9514,The,DT,O
10982,,photos,NNS,O
10983,,were,VBD,O
10984,,taken,VBN,O
10985,,at,IN,O
10986,,a,DT,O
10987,,base,NN,O
10988,,in,IN,O
10989,,southern,JJ,B-geo
10990,,Afghanistan,NNP,I-geo
10991,,(,LRB,O
10992,,Fire,NNP,B-org
10993,,Base,NNP,I-org
10994,,Tycze,NNP,I-org
10995,,),RRB,O
10996,,between,IN,O
10997,,December,NNP,B-tim
10998,,2003,CD,I-tim
10999,,and,CC,I-tim
11000,,February,NNP,I-tim
11001,,2004,CD,I-tim
11002,,.,.,O
11003,Sentence: 9515,Some,DT,O
11004,,members,NNS,O
11005,,of,IN,O
11006,,the,DT,O
11007,,infantry,NN,O
11008,,regiment,NN,O
11009,,said,VBD,O
11010,,they,PRP,O
11011,,took,VBD,O
11012,,the,DT,O
11013,,pictures,NNS,O
11014,,for,IN,O
11015,,fun,NN,O
11016,,and,CC,O
11017,,destroyed,VBD,O
11018,,some,DT,O
11019,,of,IN,O
11020,,them,PRP,O
11021,,after,IN,O
11022,,the,DT,O
11023,,Abu,NNP,B-org
11024,,Ghraib,NNP,I-org
11025,,prison,NN,O
